OV	Ch	Gain	DGain
3	0	4.64E+06	2.41E+04
4	0	6.39E+06	4.34E+04
5	0	8.19E+06	6.38E+04
3	1	4.85E+06	9.14E+03
4	1	6.62E+06	2.60E+04
5	1	8.44E+06	4.43E+04
3	3	4.74E+06	1.53E+04
4	3	6.56E+06	1.85E+04
5	3	8.48E+06	3.08E+04
3	4	4.80E+06	7.96E+03
4	4	6.63E+06	2.32E+04
5	4	8.57E+06	4.39E+04
2	5	1.49E+06	5.16E+03
2.5	5	1.86E+06	2.53E+03
3	5	2.24E+06	4.62E+03
